2025-08-05 12:19:50 | INFO     | SMART.METRICS.__MAIN__    | [SUCCESS] config\live_account_validator.py: Protocolo cumplido
2025-08-05 12:21:04 | DEBUG    | SMART.METRICS.__MAIN__    | [SYMBOL] Validando: config\live_account_validator.py
2025-08-05 12:21:04 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en config\live_account_validator.py:2
2025-08-05 12:21:04 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en config\live_account_validator.py:356
2025-08-05 12:21:04 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en config\live_account_validator.py:366
2025-08-05 12:21:04 | INFO     | SMART.METRICS.__MAIN__    | [SUCCESS] config\live_account_validator.py: Protocolo cumplido
2025-08-05 12:24:02 | DEBUG    | SMART.METRICS.__MAIN__    | [SYMBOL] Validando: config\live_account_validator.py
2025-08-05 12:24:02 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en config\live_account_validator.py:2
2025-08-05 12:24:02 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en config\live_account_validator.py:356
2025-08-05 12:24:02 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en config\live_account_validator.py:366
2025-08-05 12:24:02 | INFO     | SMART.METRICS.__MAIN__    | [SUCCESS] config\live_account_validator.py: Protocolo cumplido
2025-08-05 12:24:15 | DEBUG    | SMART.METRICS.__MAIN__    | [SYMBOL] Validando: config\live_account_validator.py
2025-08-05 12:24:15 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en config\live_account_validator.py:2
2025-08-05 12:24:15 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en config\live_account_validator.py:356
2025-08-05 12:24:15 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en config\live_account_validator.py:366
2025-08-05 12:24:15 | INFO     | SMART.METRICS.__MAIN__    | [SUCCESS] config\live_account_validator.py: Protocolo cumplido
2025-08-05 12:26:39 | DEBUG    | SMART.METRICS.__MAIN__    | [SYMBOL] Validando: config\live_account_validator.py
2025-08-05 12:26:39 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en config\live_account_validator.py:2
2025-08-05 12:26:39 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en config\live_account_validator.py:356
2025-08-05 12:26:39 | ERROR    | SMART.METRICS.__MAIN__    | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en config\live_account_validator.py:366
2025-08-05 12:26:39 | INFO     | SMART.METRICS.__MAIN__    | [SUCCESS] config\live_account_validator.py: Protocolo cumplido
2025-08-05 12:28:59 | DEBUG    | SMART.METRICS.__MAIN__    | [SYMBOL] Validando: config\live_account_validator.py
