2025-08-05 12:34:43 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] core\risk_management\riskbot_mt5.py: Protocolo cumplido
2025-08-05 12:34:43 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: scripts\resumen_cambios_mt5.py
2025-08-05 12:34:43 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en scripts\resumen_cambios_mt5.py:2
2025-08-05 12:34:43 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\resumen_cambios_mt5.py:81
2025-08-05 12:34:43 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\resumen_cambios_mt5.py:85
2025-08-05 12:34:43 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] scripts\resumen_cambios_mt5.py: Protocolo cumplido
2025-08-05 12:34:43 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: utils\mt5_data_manager.py
2025-08-05 12:34:43 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en utils\mt5_data_manager.py:31
2025-08-05 12:34:43 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] utils\mt5_data_manager.py: Protocolo cumplido
2025-08-05 12:42:19 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: core\risk_management\riskbot_mt5.py
2025-08-05 12:42:19 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en core\risk_management\riskbot_mt5.py:4
2025-08-05 12:42:19 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] core\risk_management\riskbot_mt5.py: Protocolo cumplido
2025-08-05 12:42:19 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: scripts\resumen_cambios_mt5.py
2025-08-05 12:42:19 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en scripts\resumen_cambios_mt5.py:2
2025-08-05 12:42:19 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\resumen_cambios_mt5.py:81
2025-08-05 12:42:19 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\resumen_cambios_mt5.py:85
2025-08-05 12:42:19 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] scripts\resumen_cambios_mt5.py: Protocolo cumplido
2025-08-05 12:42:19 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: utils\mt5_data_manager.py
2025-08-05 12:42:19 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en utils\mt5_data_manager.py:31
2025-08-05 12:42:19 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] utils\mt5_data_manager.py: Protocolo cumplido
2025-08-05 12:46:10 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: core\risk_management\riskbot_mt5.py
2025-08-05 12:46:10 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en core\risk_management\riskbot_mt5.py:4
2025-08-05 12:46:10 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] core\risk_management\riskbot_mt5.py: Protocolo cumplido
2025-08-05 12:46:10 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: scripts\resumen_cambios_mt5.py
2025-08-05 12:46:10 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en scripts\resumen_cambios_mt5.py:2
2025-08-05 12:46:10 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\resumen_cambios_mt5.py:81
2025-08-05 12:46:10 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\resumen_cambios_mt5.py:85
2025-08-05 12:46:10 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] scripts\resumen_cambios_mt5.py: Protocolo cumplido
2025-08-05 12:46:10 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: utils\mt5_data_manager.py
2025-08-05 12:46:10 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en utils\mt5_data_manager.py:31
2025-08-05 12:46:10 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] utils\mt5_data_manager.py: Protocolo cumplido
2025-08-05 12:47:14 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: core\risk_management\riskbot_mt5.py
2025-08-05 12:47:14 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en core\risk_management\riskbot_mt5.py:4
2025-08-05 12:47:14 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] core\risk_management\riskbot_mt5.py: Protocolo cumplido
