2025-08-05 10:12:09 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:12:09 | DEBUG    | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [TIMER] Tiempo hasta Asia-Pacific: 5h 48m
2025-08-05 10:12:09 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:12:09 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:12:09 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:12:09 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:12:09 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:12:09 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:12:19 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:12:19 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:12:19 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:12:19 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:12:19 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:12:19 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:12:29 | DEBUG    | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [TIMER] Tiempo hasta Asia-Pacific: 5h 48m
2025-08-05 10:12:29 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:12:29 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:12:29 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:12:29 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:12:29 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:12:29 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:13:15 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:13:15 | DEBUG    | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | [SUCCESS] MT5.order_send DISPONIBLE
2025-08-05 10:13:15 | DEBUG    | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | [SUCCESS] MT5.orders_get DISPONIBLE
2025-08-05 10:13:15 | INFO     | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | RiskBot integrado para volumen dinámico
2025-08-05 10:13:15 | INFO     | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | Gestor DUAL de órdenes límite inicializado (CONSERVADOR + AGRESIVO)
2025-08-05 10:13:15 | INFO     | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | SIN SL/TP automáticos - RiskBot y Bollinger gestionan riesgo
2025-08-05 10:13:15 | DEBUG    | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | Volumen dinámico: 0.5 (vs fijo: 0.05)
2025-08-05 10:13:15 | INFO     | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | Volumen dinámico inicial: 0.5 lotes
2025-08-05 10:13:54 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:13:54 | DEBUG    | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | [SUCCESS] MT5.order_send DISPONIBLE
2025-08-05 10:13:54 | DEBUG    | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | [SUCCESS] MT5.orders_get DISPONIBLE
2025-08-05 10:13:54 | INFO     | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | RiskBot integrado para volumen dinámico
2025-08-05 10:13:54 | INFO     | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | Gestor DUAL de órdenes límite inicializado (CONSERVADOR + AGRESIVO)
2025-08-05 10:13:54 | INFO     | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | SIN SL/TP automáticos - RiskBot y Bollinger gestionan riesgo
2025-08-05 10:13:54 | DEBUG    | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | Volumen dinámico: 0.5 (vs fijo: 0.05)
2025-08-05 10:13:54 | INFO     | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | Volumen dinámico inicial: 0.5 lotes
2025-08-05 10:14:40 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:14:40 | DEBUG    | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | [SUCCESS] MT5.order_send DISPONIBLE
2025-08-05 10:14:40 | DEBUG    | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | [SUCCESS] MT5.orders_get DISPONIBLE
2025-08-05 10:14:40 | INFO     | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | RiskBot integrado para volumen dinámico
2025-08-05 10:14:40 | INFO     | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | Gestor DUAL de órdenes límite inicializado (CONSERVADOR + AGRESIVO)
2025-08-05 10:14:40 | INFO     | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | SIN SL/TP automáticos - RiskBot y Bollinger gestionan riesgo
2025-08-05 10:14:40 | DEBUG    | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | Volumen dinámico: 0.5 (vs fijo: 0.05)
2025-08-05 10:14:40 | INFO     | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | Volumen dinámico inicial: 0.5 lotes
2025-08-05 10:14:40 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:14:41 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:14:41 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:14:41 | DEBUG    | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [TIMER] Tiempo hasta Asia-Pacific: 5h 46m
2025-08-05 10:14:41 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:14:41 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:14:41 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:14:51 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:14:51 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:14:51 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
