time,open,high,low,close,tick_volume,spread,real_volume
1753981200,1.14112,1.14497,1.14075,1.14446,4410,2,0
1753984800,1.14443,1.14497,1.1428099999999999,1.143,3625,2,0
1753988400,1.143,1.14328,1.14214,1.14224,2906,2,0
1753992000,1.14224,1.1424400000000001,1.1414900000000001,1.14195,2003,2,0
1753995600,1.14195,1.1433,1.14155,1.14266,1759,2,0
1753999200,1.14263,1.14318,1.14121,1.1412499999999999,2044,2,0
1754002800,1.14123,1.1418,1.14094,1.14144,1412,3,0
1754006400,1.14145,1.14181,1.14142,1.1415899999999999,347,24,0
1754010000,1.1415899999999999,1.14227,1.1414900000000001,1.14175,1041,3,0
1754013600,1.14175,1.1426,1.14116,1.14218,1556,2,0
1754017200,1.14218,1.14289,1.14156,1.1424400000000001,2401,2,0
1754020800,1.14243,1.14287,1.14049,1.14071,2473,2,0
1754024400,1.14072,1.1414900000000001,1.14057,1.14111,1986,2,0
1754028000,1.14111,1.14221,1.14103,1.14184,1557,2,0
1754031600,1.14184,1.14214,1.14155,1.14192,1234,2,0
1754035200,1.14192,1.14347,1.14161,1.14306,1717,2,0
1754038800,1.14306,1.14378,1.14261,1.1429,2338,2,0
1754042400,1.14292,1.1434,1.14126,1.14188,2847,2,0
1754046000,1.14187,1.14204,1.14054,1.1406399999999999,2276,2,0
1754049600,1.1406399999999999,1.14126,1.13931,1.14008,2130,2,0
1754053200,1.14009,1.14175,1.14009,1.14121,2214,2,0
1754056800,1.14121,1.14223,1.14042,1.14046,2283,2,0
1754060400,1.14046,1.15585,1.13914,1.15453,8079,2,0
1754064000,1.15458,1.15831,1.15369,1.15585,8895,2,0
1754067600,1.15601,1.15877,1.1550799999999999,1.1556,8653,2,0
1754071200,1.15558,1.15651,1.15359,1.15543,4245,2,0
1754074800,1.15543,1.15645,1.15379,1.15392,3021,2,0
1754078400,1.15392,1.15392,1.15164,1.15267,3162,2,0
1754082000,1.15268,1.15478,1.15216,1.15256,2624,2,0
1754085600,1.15257,1.15821,1.15236,1.15687,3995,2,0
1754089200,1.1569,1.15968,1.15685,1.15952,2109,3,0
